GEOid,GEOid2,GEOdisplay_label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38
1400000US36047001800,36047001800,"Census Tract 18, Kings County, New York",0,123,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,123,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,2440,135,6091,2530,31.7,5.4,8508,4816,38.9,6.2,5145,3286,1.0,1.2,N,N,4.3,3.1,5524,6559,0.0,1.4,-,**,16.7,4.7,3096,1921,7.4,3.1,8658,7345,51.9,4.3,7055,3302,14.1,3.7,6000,4600,-,(X),(X),(X),-,(X),(X),(X),59.5,(X),(X),(X)
1400000US36047002000,36047002000,"Census Tract 20, Kings County, New York",466,67,52409,10693,88.6,11.7,54997,12565,5.6,7.0,9419,7936,11.2,10.5,13146,3702,2.6,4.1,9525,9,2.6,4.1,2442,16,0.0,7.2,-,**,381,78,48260,12564,7.3,11.8,N,N,40.2,22.9,N,N,24.4,19.6,N,N,16.5,13.1,N,N,8.9,7.7,N,N,2.6,4.6,N,N,1611,324,15553,3440,30.9,16.5,16487,9383,0.7,1.2,N,N,0.0,2.1,-,**,29.5,19.1,11978,3984,0.0,2.1,-,**,38.8,23.9,17164,5613,0.0,2.1,-,**,64.4,20.3,15744,4752,5.3,4.8,30528,23053,35.2,(X),(X),(X),33.6,(X),(X),(X),23.7,(X),(X),(X)
1400000US36047002100,36047002100,"Census Tract 21, Kings County, New York",1220,98,211345,42372,98.3,2.0,203213,39734,29.9,8.3,35151,33035,3.7,1.4,16749,2918,1.1,1.9,2393,15,0.0,2.8,-,**,0.0,2.8,-,**,698,118,255392,58735,2.0,3.2,N,N,22.6,9.7,N,N,66.3,9.9,N,N,5.7,4.6,N,N,3.3,4.8,N,N,0.0,4.9,N,N,2880,354,90182,15604,72.8,8.9,100876,17799,8.9,5.5,31503,40212,0.0,1.2,-,**,13.3,5.9,79382,29806,0.0,1.2,-,**,2.8,2.0,44974,38538,2.1,2.4,N,N,10.4,5.8,51637,19549,66.0,8.6,104155,19748,19.8,(X),(X),(X),20.2,(X),(X),(X),16.5,(X),(X),(X)
1400000US36047002200,36047002200,"Census Tract 22, Kings County, New York",1576,90,44202,5197,78.7,5.6,47248,5148,6.2,4.1,11414,8954,23.0,6.6,13223,2193,7.4,3.3,7518,1070,5.8,4.0,3375,3407,10.8,4.1,16768,5923,1036,128,50781,7021,7.5,4.1,27154,9520,36.4,10.3,47841,11691,37.5,8.5,53636,9129,5.1,3.9,51447,22311,8.1,6.7,75255,28856,5.4,5.2,46352,22525,5181,1224,16837,1618,61.6,9.7,16394,2510,3.8,2.6,26185,10806,3.1,3.1,14584,8315,14.0,3.7,19823,4452,0.0,0.7,-,**,15.9,6.9,14394,3021,1.7,1.4,14429,15373,52.0,10.2,13202,1631,28.4,11.3,20829,5479,23.0,(X),(X),(X),25.5,(X),(X),(X),36.4,(X),(X),(X)
1400000US36047002300,36047002300,"Census Tract 23, Kings County, New York",1632,26,29620,9386,65.6,7.6,28872,4662,1.8,1.7,266977,359188,20.8,7.8,8060,1527,15.9,6.0,6836,995,20.9,7.3,3401,1626,7.9,4.7,7336,2782,1142,126,31797,12813,29.9,10.1,N,N,45.5,10.5,N,N,6.2,5.0,N,N,13.8,6.7,N,N,2.0,2.8,N,N,2.5,3.0,N,N,4043,359,12817,4415,13.0,6.4,8998,3418,56.7,8.3,14472,7675,1.8,2.5,N,N,11.5,4.0,11595,3681,0.0,0.9,-,**,10.3,6.0,8827,2968,6.7,4.8,13210,4878,34.8,9.3,9343,1634,1.4,2.2,N,N,36.1,(X),(X),(X),44.5,(X),(X),(X),30.4,(X),(X),(X)
1400000US36047002901,36047002901,"Census Tract 29.01, Kings County, New York",1087,131,17212,4433,38.2,10.1,31304,9017,0.0,3.2,-,**,25.0,10.2,7446,1478,24.4,9.0,7138,1059,7.9,6.5,3013,1645,10.1,5.6,4833,3373,585,141,21573,7283,55.0,15.5,N,N,33.2,14.2,N,N,0.0,5.8,N,N,9.9,8.3,N,N,0.0,5.8,N,N,1.9,3.5,N,N,2795,460,7340,1668,8.9,5.8,3768,2487,67.4,9.3,7436,2034,0.0,1.2,-,**,2.0,3.4,N,N,0.0,1.2,-,**,14.1,6.3,11985,6373,7.5,7.8,3244,3040,23.8,7.7,8937,3748,0.8,1.0,N,N,38.3,(X),(X),(X),42.2,(X),(X),(X),32.1,(X),(X),(X)
1400000US36047003000,36047003000,"Census Tract 30, Kings County, New York",704,57,79103,13679,81.4,8.8,82546,17511,30.4,8.4,11641,11091,25.3,6.8,13930,3500,1.3,2.1,2389,20,1.3,2.1,4478,20,9.9,5.0,28143,16187,476,94,90668,17701,12.4,10.5,N,N,24.8,13.4,N,N,50.2,16.2,N,N,7.1,6.0,N,N,3.6,4.2,N,N,1.9,3.1,N,N,1873,229,31055,5072,70.0,10.4,35993,7221,2.3,2.5,N,N,0.0,1.8,-,**,17.3,9.0,22446,7094,0.0,1.8,-,**,4.2,3.1,43808,22600,6.1,4.9,N,N,16.1,8.0,37658,22232,59.5,11.7,34814,8465,22.2,(X),(X),(X),22.9,(X),(X),(X),13.7,(X),(X),(X)
1400000US36047003100,36047003100,"Census Tract 31, Kings County, New York",794,91,82917,17494,74.7,10.2,97346,22699,25.1,8.8,4036,1566,36.6,11.0,13660,1156,0.0,4.3,-,**,4.7,4.4,1608,648,22.5,8.2,15655,7100,219,94,133219,41130,0.0,14.7,-,**,33.3,21.0,70770,9982,37.9,19.1,234548,88348,28.8,22.4,72084,15210,0.0,14.7,-,**,0.0,14.7,-,**,2715,419,30602,7634,23.0,5.7,35894,17086,41.4,7.1,27719,7377,0.0,1.3,-,**,25.0,6.4,35633,14696,0.0,1.3,-,**,7.6,2.7,16922,9635,3.0,1.6,22320,25024,12.3,4.1,27596,17181,20.1,5.3,32463,15447,32.5,(X),(X),(X),33.3,(X),(X),(X),32.8,(X),(X),(X)
1400000US36047003300,36047003300,"Census Tract 33, Kings County, New York",1142,69,101046,19879,89.1,6.0,104706,20801,16.1,5.7,24499,16834,18.6,6.0,11724,2635,3.9,3.7,8391,386,3.6,2.6,3046,955,8.8,4.3,7130,4859,382,109,151545,45829,2.4,3.6,N,N,18.3,9.7,N,N,38.2,15.3,N,N,28.5,17.2,N,N,4.7,8.1,N,N,7.9,6.2,N,N,2352,309,51143,7470,50.3,8.7,66979,13891,20.2,6.3,30735,11610,0.0,1.5,-,**,7.6,4.2,52084,16379,0.0,1.5,-,**,16.3,8.0,32764,15978,5.6,3.0,34592,21334,20.5,8.2,43326,22936,47.3,8.1,63796,13856,22.2,(X),(X),(X),33.2,(X),(X),(X),16.0,(X),(X),(X)
1400000US36047003400,36047003400,"Census Tract 34, Kings County, New York",1347,96,95004,16016,72.0,6.9,106088,20756,36.1,8.0,11604,6888,28.8,6.2,17501,2283,0.7,1.1,23656,20,0.9,1.1,1600,1455,26.0,7.2,32981,8989,777,122,113014,23525,10.2,5.3,N,N,21.8,8.0,N,N,41.7,13.1,N,N,13.3,9.9,N,N,5.0,6.5,N,N,8.1,9.9,N,N,3065,413,42350,5772,72.6,11.8,45447,7717,0.3,0.6,N,N,3.8,5.8,21784,761,16.8,9.4,42514,20467,0.0,1.1,-,**,5.0,6.2,15485,4829,1.4,1.8,N,N,12.5,9.2,20448,5136,68.5,12.0,46786,8312,24.7,(X),(X),(X),26.1,(X),(X),(X),18.2,(X),(X),(X)
1400000US36047003500,36047003500,"Census Tract 35, Kings County, New York",745,77,68161,11234,81.9,8.4,70061,10804,9.7,5.6,38108,45024,30.5,9.8,11654,1940,8.6,6.3,4181,1283,1.3,2.1,2920,18,9.3,5.7,25420,17375,305,68,81792,14650,17.4,10.9,17694,7692,22.0,12.1,66087,30511,37.7,11.7,117497,24362,11.5,11.3,75911,21911,0.0,10.8,-,**,11.5,11.8,97489,33335,1437,268,35742,5884,15.2,6.5,64220,25255,57.8,11.0,24981,4933,0.0,2.4,-,**,13.8,6.0,39174,12463,0.0,2.4,-,**,4.2,3.9,64897,33707,9.1,6.1,37993,13053,8.4,5.9,30942,18055,10.4,5.0,82140,27265,23.6,(X),(X),(X),17.0,(X),(X),(X),23.3,(X),(X),(X)
1400000US36047003600,36047003600,"Census Tract 36, Kings County, New York",1806,69,70953,9430,67.7,7.2,85885,9895,23.9,6.0,7380,2350,28.6,7.3,15903,1443,2.3,1.3,10600,2436,6.5,4.7,3645,767,15.7,4.2,23233,7525,998,141,82123,12306,19.4,8.8,30506,9278,21.2,7.3,68412,11035,23.7,8.2,104476,21961,21.4,9.6,104094,28574,8.5,5.7,103649,45162,5.6,3.7,101609,43388,4201,398,31206,3606,77.7,7.6,33538,4673,3.0,2.2,32004,14645,0.0,0.8,-,**,13.8,6.3,21346,9460,2.3,3.5,25702,894,1.5,1.3,33842,14194,1.6,1.3,6770,9167,13.9,4.2,38437,16349,65.6,7.0,32522,4997,31.5,(X),(X),(X),36.4,(X),(X),(X),28.2,(X),(X),(X)
1400000US36047003700,36047003700,"Census Tract 37, Kings County, New York",127,67,92312,43032,84.3,27.3,96394,55463,0.0,23.8,-,**,24.4,36.2,6513,5,0.0,23.8,-,**,0.0,23.8,-,**,15.7,27.3,8330,7,51,44,N,N,39.2,60.8,N,N,0.0,43.1,N,N,0.0,43.1,N,N,60.8,60.8,N,N,0.0,43.1,N,N,0.0,43.1,N,N,220,122,50766,23486,75.0,21.9,41571,22402,10.9,18.5,N,N,0.0,14.7,-,**,14.1,15.2,N,N,0.0,14.7,-,**,0.0,14.7,-,**,0.0,14.7,-,**,26.4,41.2,N,N,48.6,41.0,52819,43720,16.5,(X),(X),(X),0.0,(X),(X),(X),9.9,(X),(X),(X)
1400000US36047003800,36047003800,"Census Tract 38, Kings County, New York",637,80,106757,27621,76.5,11.9,112137,29162,34.2,11.9,19647,14579,24.2,10.0,17416,3907,0.0,5.3,-,**,0.0,5.3,-,**,19.5,9.0,47716,20083,385,94,128489,37462,22.1,15.7,N,N,29.9,16.1,N,N,23.4,12.6,N,N,3.9,5.5,N,N,18.2,10.0,N,N,2.6,4.3,N,N,1515,279,45248,10524,95.1,5.1,43620,10067,0.0,2.3,-,**,0.0,2.3,-,**,3.2,3.6,115561,35276,0.0,2.3,-,**,0.1,0.4,N,N,1.5,2.5,-,**,10.3,14.3,23903,2758,84.8,14.1,46014,10488,25.9,(X),(X),(X),34.0,(X),(X),(X),21.2,(X),(X),(X)
1400000US36047003900,36047003900,"Census Tract 39, Kings County, New York",1046,81,100675,21078,72.7,7.1,118452,25624,29.5,7.7,29063,24605,16.8,6.6,16164,4612,14.0,5.7,6047,1639,4.1,3.0,1467,391,9.7,5.6,19189,7050,347,76,152519,49872,20.5,12.4,N,N,17.0,12.4,N,N,51.9,15.5,N,N,7.5,7.1,N,N,3.2,5.0,N,N,0.0,9.6,N,N,2134,338,53284,9407,56.1,8.3,62893,14716,17.8,7.2,54098,19475,0.0,1.6,-,**,10.4,3.9,51202,20821,0.0,1.6,-,**,10.0,5.6,12894,6294,5.6,2.6,30338,25289,15.9,5.5,19216,5613,48.4,8.5,69306,16695,26.0,(X),(X),(X),31.4,(X),(X),(X),22.6,(X),(X),(X)
1400000US36047004100,36047004100,"Census Tract 41, Kings County, New York",1479,106,134692,18592,90.6,4.8,136292,20459,38.7,8.4,16520,6362,14.4,4.8,14695,2294,3.2,4.1,9323,37,0.0,2.3,-,**,5.7,3.2,21519,18282,678,135,197761,33703,4.0,4.4,N,N,19.8,8.6,N,N,63.9,12.9,N,N,6.3,7.8,N,N,6.0,6.3,N,N,0.0,5.0,N,N,4062,1031,51728,12435,62.4,12.3,63551,8237,20.6,15.3,21903,23663,0.2,0.3,N,N,4.6,2.6,76107,39996,0.0,0.9,-,**,6.7,3.9,21859,11178,5.5,3.0,46735,26151,14.7,6.2,28587,11260,59.5,11.6,65852,8360,19.3,(X),(X),(X),20.4,(X),(X),(X),15.1,(X),(X),(X)
1400000US36047004300,36047004300,"Census Tract 43, Kings County, New York",1348,96,154472,36230,90.5,5.3,161310,36841,27.4,7.6,17865,12391,15.2,6.2,11157,1998,1.3,1.5,6100,2595,0.0,2.6,-,**,4.2,2.7,21011,7811,533,116,218619,78660,0.0,6.4,-,**,13.3,9.1,363714,311750,67.0,13.0,230715,83608,19.7,11.4,79378,27211,0.0,6.4,-,**,0.0,6.4,-,**,3329,550,63103,15864,67.0,10.6,75154,14159,13.2,7.1,21478,27031,0.0,1.0,-,**,6.4,3.7,89830,59136,0.0,1.0,-,**,8.8,7.0,10955,9470,4.7,3.8,70050,109675,15.8,6.5,34763,22621,59.8,9.9,79725,15111,16.6,(X),(X),(X),15.4,(X),(X),(X),22.6,(X),(X),(X)
1400000US36047004400,36047004400,"Census Tract 44, Kings County, New York",930,72,150591,33793,74.6,7.1,137763,34159,50.1,9.7,63320,48317,43.7,7.8,19725,2756,1.0,1.5,4689,19,0.8,1.2,4729,21,21.2,7.5,30804,11284,690,83,182115,45151,15.4,8.2,169455,185654,33.8,11.3,196076,102447,25.8,9.5,143526,42476,10.3,6.4,117070,44167,10.9,7.2,272029,92408,3.9,3.4,287026,149063,2426,193,58371,13697,82.5,9.3,59647,13987,0.0,1.4,-,**,0.0,1.4,-,**,15.0,8.7,60288,63738,0.0,1.4,-,**,0.0,1.4,-,**,2.5,3.3,N,N,5.2,4.9,33342,50469,79.9,9.8,59627,14370,40.3,(X),(X),(X),41.0,(X),(X),(X),27.4,(X),(X),(X)
1400000US36047004500,36047004500,"Census Tract 45, Kings County, New York",1831,49,172583,32069,87.6,4.8,167372,33640,44.1,6.7,42208,23842,16.2,5.2,18382,2921,0.6,1.0,7573,11,0.6,0.9,127,13,6.0,2.4,40836,17941,835,143,259647,70081,11.3,6.3,N,N,37.8,10.8,N,N,39.5,11.8,N,N,4.2,4.3,N,N,7.2,6.2,N,N,0.0,4.1,N,N,3609,305,88485,16208,87.8,5.8,88698,17077,4.3,5.4,137325,37767,0.0,1.0,-,**,5.5,3.2,69550,53275,0.0,1.0,-,**,1.5,1.5,21198,1016,1.0,0.9,63417,62090,6.6,3.5,35313,14049,83.3,6.3,91837,17842,14.7,(X),(X),(X),15.2,(X),(X),(X),10.3,(X),(X),(X)
1400000US36047004600,36047004600,"Census Tract 46, Kings County, New York",469,38,104979,31187,59.1,17.6,135149,48116,39.2,12.6,33382,14134,43.7,14.0,15048,3592,0.0,7.2,-,**,3.0,4.8,1043,11,22.0,12.1,21313,7761,289,81,150645,57719,32.5,19.1,N,N,23.2,14.7,N,N,27.3,15.4,N,N,2.8,4.4,N,N,10.0,10.0,N,N,4.2,6.4,N,N,1074,153,47025,15325,88.8,8.4,49639,17485,0.0,3.2,-,**,0.0,3.2,-,**,8.8,7.9,31285,4602,0.0,3.2,-,**,2.4,3.9,N,N,0.0,3.2,-,**,15.9,12.4,55531,63340,75.3,12.5,47055,14022,30.5,(X),(X),(X),31.5,(X),(X),(X),24.2,(X),(X),(X)
