GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC05_VC08,"Families - Female householder, no husband present; NUMBER - Total - $30,000 to $34,999"
HC06_VC08,"Nonfamily households; NUMBER - Total - $30,000 to $34,999"
HC01_VC09,"Households; NUMBER - Total - $35,000 to $39,999"
HC03_VC09,"Families - Total; NUMBER - Total - $35,000 to $39,999"
HC04_VC09,"Families - Married- couple families; NUMBER - Total - $35,000 to $39,999"
HC05_VC09,"Families - Female householder, no husband present; NUMBER - Total - $35,000 to $39,999"
HC06_VC09,"Nonfamily households; NUMBER - Total - $35,000 to $39,999"
HC01_VC10,"Households; NUMBER - Total - $40,000 to $44,999"
HC03_VC10,"Families - Total; NUMBER - Total - $40,000 to $44,999"
HC04_VC10,"Families - Married- couple families; NUMBER - Total - $40,000 to $44,999"
HC05_VC10,"Families - Female householder, no husband present; NUMBER - Total - $40,000 to $44,999"
HC06_VC10,"Nonfamily households; NUMBER - Total - $40,000 to $44,999"
HC01_VC11,"Households; NUMBER - Total - $45,000 to $49,999"
HC03_VC11,"Families - Total; NUMBER - Total - $45,000 to $49,999"
HC04_VC11,"Families - Married- couple families; NUMBER - Total - $45,000 to $49,999"
HC05_VC11,"Families - Female householder, no husband present; NUMBER - Total - $45,000 to $49,999"
HC06_VC11,"Nonfamily households; NUMBER - Total - $45,000 to $49,999"
HC01_VC12,"Households; NUMBER - Total - $50,000 to $59,999"
HC03_VC12,"Families - Total; NUMBER - Total - $50,000 to $59,999"
HC04_VC12,"Families - Married- couple families; NUMBER - Total - $50,000 to $59,999"
HC05_VC12,"Families - Female householder, no husband present; NUMBER - Total - $50,000 to $59,999"
HC06_VC12,"Nonfamily households; NUMBER - Total - $50,000 to $59,999"
HC01_VC13,"Households; NUMBER - Total - $60,000 to $74,999"
HC03_VC13,"Families - Total; NUMBER - Total - $60,000 to $74,999"
HC04_VC13,"Families - Married- couple families; NUMBER - Total - $60,000 to $74,999"
HC05_VC13,"Families - Female householder, no husband present; NUMBER - Total - $60,000 to $74,999"
HC06_VC13,"Nonfamily households; NUMBER - Total - $60,000 to $74,999"
HC01_VC14,"Households; NUMBER - Total - $75,000 to $99,999"
HC03_VC14,"Families - Total; NUMBER - Total - $75,000 to $99,999"
HC04_VC14,"Families - Married- couple families; NUMBER - Total - $75,000 to $99,999"
HC05_VC14,"Families - Female householder, no husband present; NUMBER - Total - $75,000 to $99,999"
HC06_VC14,"Nonfamily households; NUMBER - Total - $75,000 to $99,999"
HC01_VC15,"Households; NUMBER - Total - $100,000 to $124,999"
HC03_VC15,"Families - Total; NUMBER - Total - $100,000 to $124,999"
HC04_VC15,"Families - Married- couple families; NUMBER - Total - $100,000 to $124,999"
HC05_VC15,"Families - Female householder, no husband present; NUMBER - Total - $100,000 to $124,999"
HC06_VC15,"Nonfamily households; NUMBER - Total - $100,000 to $124,999"
HC01_VC16,"Households; NUMBER - Total - $125,000 to $149,999"
HC03_VC16,"Families - Total; NUMBER - Total - $125,000 to $149,999"
HC04_VC16,"Families - Married- couple families; NUMBER - Total - $125,000 to $149,999"
HC05_VC16,"Families - Female householder, no husband present; NUMBER - Total - $125,000 to $149,999"
HC06_VC16,"Nonfamily households; NUMBER - Total - $125,000 to $149,999"
HC01_VC17,"Households; NUMBER - Total - $150,000 to $199,999"
HC03_VC17,"Families - Total; NUMBER - Total - $150,000 to $199,999"
HC04_VC17,"Families - Married- couple families; NUMBER - Total - $150,000 to $199,999"
HC05_VC17,"Families - Female householder, no husband present; NUMBER - Total - $150,000 to $199,999"
HC06_VC17,"Nonfamily households; NUMBER - Total - $150,000 to $199,999"
HC01_VC18,"Households; NUMBER - Total - $200,000 or more"
HC03_VC18,"Families - Total; NUMBER - Total - $200,000 or more"
HC04_VC18,"Families - Married- couple families; NUMBER - Total - $200,000 or more"
HC05_VC18,"Families - Female householder, no husband present; NUMBER - Total - $200,000 or more"
HC06_VC18,"Nonfamily households; NUMBER - Total - $200,000 or more"
HC01_VC19,Households; NUMBER - Total - Median income (dollars)
HC03_VC19,Families - Total; NUMBER - Total - Median income (dollars)
HC04_VC19,Families - Married- couple families; NUMBER - Total - Median income (dollars)
HC05_VC19,"Families - Female householder, no husband present; NUMBER - Total - Median income (dollars)"
HC06_VC19,Nonfamily households; NUMBER - Total - Median income (dollars)
HC01_VC20,Households; NUMBER - Total - Mean income (dollars)
HC03_VC20,Families - Total; NUMBER - Total - Mean income (dollars)
HC04_VC20,Families - Married- couple families; NUMBER - Total - Mean income (dollars)
HC05_VC20,"Families - Female householder, no husband present; NUMBER - Total - Mean income (dollars)"
HC06_VC20,Nonfamily households; NUMBER - Total - Mean income (dollars)
HC01_VC22,Households; PERCENT DISTRIBUTION - Total
HC03_VC22,Families - Total; PERCENT DISTRIBUTION - Total
HC04_VC22,Families - Married- couple families; PERCENT DISTRIBUTION - Total
HC05_VC22,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total"
HC06_VC22,Nonfamily households; PERCENT DISTRIBUTION - Total
HC01_VC23,"Households; PERCENT DISTRIBUTION - Total - Less than $10,000"
HC03_VC23,"Families - Total; PERCENT DISTRIBUTION - Total - Less than $10,000"
HC04_VC23,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - Less than $10,000"
HC05_VC23,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - Less than $10,000"
HC06_VC23,"Nonfamily households; PERCENT DISTRIBUTION - Total - Less than $10,000"
HC01_VC24,"Households; PERCENT DISTRIBUTION - Total - $10,000 to $14,999"
HC03_VC24,"Families - Total; PERCENT DISTRIBUTION - Total - $10,000 to $14,999"
HC04_VC24,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $10,000 to $14,999"
HC05_VC24,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $10,000 to $14,999"
HC06_VC24,"Nonfamily households; PERCENT DISTRIBUTION - Total - $10,000 to $14,999"
HC01_VC25,"Households; PERCENT DISTRIBUTION - Total - $15,000 to $19,999"
HC03_VC25,"Families - Total; PERCENT DISTRIBUTION - Total - $15,000 to $19,999"
HC04_VC25,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $15,000 to $19,999"
HC05_VC25,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $15,000 to $19,999"
HC06_VC25,"Nonfamily households; PERCENT DISTRIBUTION - Total - $15,000 to $19,999"
HC01_VC26,"Households; PERCENT DISTRIBUTION - Total - $20,000 to $24,999"
HC03_VC26,"Families - Total; PERCENT DISTRIBUTION - Total - $20,000 to $24,999"
HC04_VC26,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $20,000 to $24,999"
HC05_VC26,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $20,000 to $24,999"
HC06_VC26,"Nonfamily households; PERCENT DISTRIBUTION - Total - $20,000 to $24,999"
HC01_VC27,"Households; PERCENT DISTRIBUTION - Total - $25,000 to $29,999"
HC03_VC27,"Families - Total; PERCENT DISTRIBUTION - Total - $25,000 to $29,999"
HC04_VC27,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $25,000 to $29,999"
HC05_VC27,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $25,000 to $29,999"
HC06_VC27,"Nonfamily households; PERCENT DISTRIBUTION - Total - $25,000 to $29,999"
HC01_VC28,"Households; PERCENT DISTRIBUTION - Total - $30,000 to $34,999"
HC03_VC28,"Families - Total; PERCENT DISTRIBUTION - Total - $30,000 to $34,999"
HC04_VC28,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $30,000 to $34,999"
HC05_VC28,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $30,000 to $34,999"
HC06_VC28,"Nonfamily households; PERCENT DISTRIBUTION - Total - $30,000 to $34,999"
HC01_VC29,"Households; PERCENT DISTRIBUTION - Total - $35,000 to $39,999"
HC03_VC29,"Families - Total; PERCENT DISTRIBUTION - Total - $35,000 to $39,999"
HC04_VC29,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $35,000 to $39,999"
HC05_VC29,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $35,000 to $39,999"
HC06_VC29,"Nonfamily households; PERCENT DISTRIBUTION - Total - $35,000 to $39,999"
HC01_VC30,"Households; PERCENT DISTRIBUTION - Total - $40,000 to $44,999"
HC03_VC30,"Families - Total; PERCENT DISTRIBUTION - Total - $40,000 to $44,999"
HC04_VC30,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $40,000 to $44,999"
HC05_VC30,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $40,000 to $44,999"
HC06_VC30,"Nonfamily households; PERCENT DISTRIBUTION - Total - $40,000 to $44,999"
HC01_VC31,"Households; PERCENT DISTRIBUTION - Total - $45,000 to $49,999"
HC03_VC31,"Families - Total; PERCENT DISTRIBUTION - Total - $45,000 to $49,999"
HC04_VC31,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $45,000 to $49,999"
HC05_VC31,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $45,000 to $49,999"
HC06_VC31,"Nonfamily households; PERCENT DISTRIBUTION - Total - $45,000 to $49,999"
HC01_VC32,"Households; PERCENT DISTRIBUTION - Total - $50,000 to $59,999"
HC03_VC32,"Families - Total; PERCENT DISTRIBUTION - Total - $50,000 to $59,999"
HC04_VC32,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $50,000 to $59,999"
HC05_VC32,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $50,000 to $59,999"
HC06_VC32,"Nonfamily households; PERCENT DISTRIBUTION - Total - $50,000 to $59,999"
HC01_VC33,"Households; PERCENT DISTRIBUTION - Total - $60,000 to $74,999"
HC03_VC33,"Families - Total; PERCENT DISTRIBUTION - Total - $60,000 to $74,999"
HC04_VC33,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $60,000 to $74,999"
HC05_VC33,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $60,000 to $74,999"
HC06_VC33,"Nonfamily households; PERCENT DISTRIBUTION - Total - $60,000 to $74,999"
HC01_VC34,"Households; PERCENT DISTRIBUTION - Total - $75,000 to $99,999"
HC03_VC34,"Families - Total; PERCENT DISTRIBUTION - Total - $75,000 to $99,999"
HC04_VC34,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $75,000 to $99,999"
HC05_VC34,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $75,000 to $99,999"
HC06_VC34,"Nonfamily households; PERCENT DISTRIBUTION - Total - $75,000 to $99,999"
HC01_VC35,"Households; PERCENT DISTRIBUTION - Total - $100,000 to $124,999"
HC03_VC35,"Families - Total; PERCENT DISTRIBUTION - Total - $100,000 to $124,999"
HC04_VC35,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $100,000 to $124,999"
HC05_VC35,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $100,000 to $124,999"
HC06_VC35,"Nonfamily households; PERCENT DISTRIBUTION - Total - $100,000 to $124,999"
HC01_VC36,"Households; PERCENT DISTRIBUTION - Total - $125,000 to $149,999"
HC03_VC36,"Families - Total; PERCENT DISTRIBUTION - Total - $125,000 to $149,999"
HC04_VC36,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $125,000 to $149,999"
HC05_VC36,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $125,000 to $149,999"
HC06_VC36,"Nonfamily households; PERCENT DISTRIBUTION - Total - $125,000 to $149,999"
HC01_VC37,"Households; PERCENT DISTRIBUTION - Total - $150,000 to $199,999"
HC03_VC37,"Families - Total; PERCENT DISTRIBUTION - Total - $150,000 to $199,999"
HC04_VC37,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $150,000 to $199,999"
HC05_VC37,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $150,000 to $199,999"
HC06_VC37,"Nonfamily households; PERCENT DISTRIBUTION - Total - $150,000 to $199,999"
HC01_VC38,"Households; PERCENT DISTRIBUTION - Total - $200,000 or more"
HC03_VC38,"Families - Total; PERCENT DISTRIBUTION - Total - $200,000 or more"
HC04_VC38,"Families - Married- couple families; PERCENT DISTRIBUTION - Total - $200,000 or more"
HC05_VC38,"Families - Female householder, no husband present; PERCENT DISTRIBUTION - Total - $200,000 or more"
HC06_VC38,"Nonfamily households; PERCENT DISTRIBUTION - Total - $200,000 or more"
